Key,japanese
buffFortitudeT3Tooltip,あなたは«持続»という大きなランチを食べました
buffFortitudeT3Desc,体力と健康にボーナス[DECEA3]40[-]\n-属性「体力」のレベルにボーナス[DECEA3]+3[-]\n-パッシブスキル「焼けた森」にボーナス[DECEA3]+2[-]\n-肉と突然変異サンプルの獲得量が[DECEA3]20%[-]増加\n-自動武器のダメージにボーナス[DECEA3]+25%[-]\n-拳のダメージにボーナス[DECEA3]+50%[-]\n-焼けた森にいるときの耐熱性にボーナス[DECEA3]10[-]\n\n食料と水の供給量の半分が即座に回復します。
LunchAgilityT1,[5AFF75]スモール[-]ランチ«素早さ»
LunchAgilityT1Desc,敏捷性スキルを大幅に向上させる少量のセットメニュー。\n\n摂取時のボーナス:\n-スタミナボーナス[DECEA3]20[-]\n-属性「敏捷性」レベルボーナス[DECEA3]+1[-]\n-ジャンプの高さ増加[DECEA3]10%[-]\n-機動力増加[DECEA3]4%[-]\n-ピストルダメージボーナス[DECEA3]+5%[-]\n-ナイフダメージボーナス[DECEA3]+10%[-]\n\n食料と水の供給量の半分が即座に回復します。
buffAgilityT1Name,[5AFF75]スモール[-]ランチ«素早さ»
buffAgilityT1Tooltip,小さなランチ«素早さ»を食べました
buffAgilityT1Desc,敏捷性スキルを大幅に向上させる少量のセットメニュー。\n\n摂取時のボーナス:\n-スタミナボーナス[DECEA3]20[-]\n-属性「敏捷性」レベルボーナス[DECEA3]+1[-]\n-ジャンプの高さ増加[DECEA3]10%[-]\n-機動力増加[DECEA3]4%[-]\n-ピストルダメージボーナス[DECEA3]+5%[-]\n-ナイフダメージボーナス[DECEA3]+10%[-]\n\n食料と水の供給量の半分が即座に回復します。
LunchAgilityT2,[8692FF]ミディアム[-]ランチ«素早さ»
LunchAgilityT2Desc,敏捷性スキルを大幅に向上させる中級セットメニュー。\n\n摂取時のボーナス:\n-スタミナと体力にボーナス[DECEA3]20[-]\n-属性「敏捷性」のレベルにボーナス[DECEA3]+2[-]\n-パッシブスキル「砂漠」にボーナス[DECEA3]+1[-]\n-ジャンプの高さが[DECEA3]20%[-]増加\n-機動力が[DECEA3]8%[-]増加\n-ピストルのダメージにボーナス[DECEA3]+15%[-]\n-ナイフのダメージにボーナス[DECEA3]+30%[-]\n\n食料と水の供給量の半分が即座に回復します。
buffAgilityT2Name,[8692FF]ミディアム[-]ランチ«素早さ»
buffAgilityT2Tooltip,ミディアムランチ«素早さ»を食べました
buffAgilityT2Desc,敏捷性スキルを大幅に向上させる中級セットメニュー。\n\n摂取時のボーナス:\n-スタミナと体力にボーナス[DECEA3]20[-]\n-属性「敏捷性」のレベルにボーナス[DECEA3]+2[-]\n-パッシブスキル「砂漠」にボーナス[DECEA3]+1[-]\n-ジャンプの高さが[DECEA3]20%[-]増加\n-機動力が[DECEA3]8%[-]増加\n-ピストルのダメージにボーナス[DECEA3]+15%[-]\n-ナイフのダメージにボーナス[DECEA3]+30%[-]\n\n食料と水の供給量の半分が即座に回復します。
LunchAgilityT3,[FFB800]ビッグ[-]ランチ«素早さ»
LunchAgilityT3Desc,敏捷性スキルを大幅に向上させる、ボリュームたっぷりのセットメニューです。\n\n摂取時のボーナス:\n-スタミナと体力にボーナス[DECEA3]40[-]\n-属性「敏捷性」のレベルにボーナス[DECEA3]+3[-]\n-パッシブスキル「砂漠」にボーナス[DECEA3]+2[-]\n-ジャンプの高さが[DECEA3]30%[-]増加\n-機動力が[DECEA3]12%[-]増加\n-ピストルのダメージにボーナス[DECEA3]+25%[-]\n-ナイフのダメージにボーナス[DECEA3]+50%[-]\n-砂漠にいるときの耐熱性にボーナス[DECEA3]10[-]\n\n食料と水の供給量の半分が即座に回復します。
buffAgilityT3Name,[FFB800]ビッグ[-]ランチ«素早さ»
buffAgilityT3Tooltip,あなたは「器用な」という大きな昼食を食べました
buffAgilityT3Desc,敏捷性スキルを大幅に向上させる、ボリュームたっぷりのセットメニューです。\n\n摂取時のボーナス:\n-スタミナと体力にボーナス[DECEA3]40[-]\n-属性「敏捷性」のレベルにボーナス[DECEA3]+3[-]\n-パッシブスキル「砂漠」にボーナス[DECEA3]+2[-]\n-ジャンプの高さが[DECEA3]30%[-]増加\n-機動力が[DECEA3]12%[-]増加\n-ピストルのダメージにボーナス[DECEA3]+25%[-]\n-ナイフのダメージにボーナス[DECEA3]+50%[-]\n-砂漠にいるときの耐熱性にボーナス[DECEA3]10[-]\n\n食料と水の供給量の半分が即座に回復します。
stimEquilibrium,[DECEA3]刺激剤[-]«均衡»
stimEquilibriumDesc,この実験的な興奮剤は、あらゆる状況下でバランスを保つことを可能にします。効果発現中は、転倒したり、気絶したりすることはありません。
buffstimEquilibriumName,[DECEA3]刺激剤[-]«均衡»
buffstimEquilibriumTooltip,[DECEA3]刺激剤[-]«均衡»を有効化しました
buffstimEquilibriumDesc,効果発動中は、転倒したり気絶したりすることはありません。
stimClearGaze,[DECEA3]刺激剤[-]«クリアゲイズ»
stimClearGazeDesc,対象に集中できるようにする実験的な刺激剤。使用中は視覚変化効果の影響を受けません。
buffstimClearGazeName,[DECEA3]刺激剤[-]«クリアゲイズ»
buffstimClearGazeTooltip,[DECEA3]刺激剤[-]«クリアゲイズ»を有効化しました。
buffstimClearGazeDesc,アクティブな間は、視覚を変更する効果の影響を受けません。
stimIrradiatedShell,[DECEA3]刺激剤[-]«照射砲弾»
stimIrradiatedShellDesc,この実験的な刺激剤は、放射線の蓄積を一時的に防ぎます。また、現在受けている放射線をより速やかに除去します。効果が切れると、シェルは消滅し、すぐに[DECEA3]25%[-]の放射線を受けます。
buffstimIrradiatedShellName,[DECEA3]刺激剤[-]«照射砲弾»
buffstimIrradiatedShellTooltip,[DECEA3]刺激剤[-]«照射砲弾»を有効化しました。
buffstimIrradiatedShellDesc,この実験的な刺激剤は、放射線の蓄積を一時的に防ぎます。また、現在の放射線をはるかに速く除去します。\n\n[DECEA3]効果が終了すると、すぐに[-][FFB800]25%[-][DECEA3]放射線[-]が増加するので、非常に注意してください。
resourceRareMedicines,[DECEA3]希少[-]医薬品
resourceRareMedicinesDesc,これらの薬は隔離区域内ではほぼ入手不可能ですが、外の世界にある倉庫に備蓄されています。サポートキットと交換することで、バッチをリクエストできます。実験薬の製造に使用されます。
medicalFirstAidKitExp,蘇生救急キット
medicalFirstAidKitExpDesc,このエリアで受けられる最高の医療サービスです。体力回復と回復速度が向上します。骨折や擦り傷を治療し、一定量の体力を即座に回復します（メディックスキルによって効果が向上）。
BoosterXP3,[DECEA3]デイリー[-]ブースター«経験値»
BoosterXP3Desc,獲得経験値が[DECEA3]5%[-]増加し、戦利品の品質が[DECEA3]10%[-]増加します。持続時間:[DECEA3]3[-]時間。
BoosterXPPremium,[FFB800]プレミアム[-]ブースター«経験値»
BoosterXPPremiumDesc,獲得経験値が[DECEA3]15%[-]増加し、戦利品の品質が[DECEA3]25%[-]増加します。持続時間:[DECEA3]12[-]時間。
buffBoosterXP3Name,[DECEA3]デイリー[-]ブースター«経験値»
buffBoosterXP3Tooltip,デイリーブースター«経験値»を有効化しました
buffBoosterXP3Desc,獲得経験値を[DECEA3]5%[-]増加させ、戦利品ステージを[DECEA3]10[-]増加させます。持続時間:[DECEA3]3[-]時間。
buffBoosterXPPremiumName,[FFB800]プレミアム[-]ブースター«経験値»
buffBoosterXPPremiumTooltip,プレミアムブースター«経験値»を有効化しました
buffBoosterXPPremiumDesc,獲得経験値が[DECEA3]15%[-]増加し、戦利品ステージが[DECEA3]25[-]増加します。持続時間:[DECEA3]12[-]時間。
BoosterKiller3,[DECEA3]デイリー[-]ブースター«キラー»
BoosterKiller3Desc,ゾンビへのダメージを[DECEA3]15%[-]、ボスへのダメージを[DECEA3]5%[-]増加させます。持続時間:[DECEA3]3[-]時間。
BoosterKillerPremium,[FFB800]プレミアム[-]ブースター«キラー»
BoosterKillerPremiumDesc,ゾンビへのダメージを[DECEA3]25%[-]、ボスへのダメージを[DECEA3]10%[-]増加させます。持続時間:[DECEA3]12[-]時間。
buffBoosterKiller3Name,[DECEA3]デイリー[-]ブースター«キラー»
buffBoosterKiller3Tooltip,デイリーブースター«キラー»を有効化しました
buffBoosterKiller3Desc,ゾンビへのダメージを[DECEA3]15%[-]、ボスへのダメージを[DECEA3]5%[-]増加させます。持続時間:[DECEA3]3[-]時間。
buffBoosterKillerPremiumName,[FFB800]プレミアム[-]ブースター«キラー»
buffBoosterKillerPremiumTooltip,プレミアムブースター«キラー»を有効化しました
buffBoosterKillerPremiumDesc,ゾンビへのダメージを[DECEA3]25%[-]、ボスへのダメージを[DECEA3]10%[-]増加させます。持続時間:[DECEA3]12[-]時間。
BoosterBreadwinner3,[DECEA3]デイリー[-]ブースター«ブレッドウィナー»
BoosterBreadwinner3Desc,採掘された資源の量を[DECEA3]10%[-]増加させます。持続時間:[DECEA3]3[-]時間。
BoosterBreadwinnerPremium,[FFB800]プレミアム[-]ブースター«ブレッドウィナー»
BoosterBreadwinnerPremiumDesc,採掘された資源の量を[DECEA3]25%[-]増加させます。持続時間:[DECEA3]12[-]時間。
buffBoosterBreadwinner3Name,[DECEA3]デイリー[-]ブースター«ブレッドウィナー»
buffBoosterBreadwinner3Tooltip,デイリーブースター«ブレッドウィナー»を有効化しました
buffBoosterBreadwinner3Desc,採掘された資源の量を[DECEA3]10%[-]増加させます。持続時間:[DECEA3]3[-]時間。
buffBoosterBreadwinnerPremiumName,[FFB800]プレミアム[-]ブースター«ブレッドウィナー»
buffBoosterBreadwinnerPremiumTooltip,プレミアムブースター«ブレッドウィナー»を有効化しました
buffBoosterBreadwinnerPremiumDesc,採掘された資源の量を[DECEA3]25%[-]増加させます。持続時間:[DECEA3]12[-]時間。
resourceRepairKitImp,[DECEA3]改良版[-]修理キット
resourceRepairKitImpDesc,改良された武器や道具は、基本的なものに比べて性能が向上しています。ただし、修理も難しくなっています。\n\n改良された武器や道具の修理に使用します。\n[DECEA3]2000[-]耐久度を修理します。\n\n必要なスキル:[DECEA3]高度工学Lv.3[-]
resourceRepairKitLeg,[FFB800]レジェンダリー[-]修理キット
resourceRepairKitLegDesc,伝説級の武器は、どんな敵にも大きな問題を引き起こす可能性があります。しかし、そのような武器の修理は、決して安上がりなものではありません。\n\n伝説級の武器を修理するために使用します。\n[DECEA3]2000[-]耐久度を修理します。\n\n必要なスキル:[DECEA3]高度工学Lv.5[-]
ammoJunkTurretDU,砲塔[5AFF75](劣化ウラン)弾薬[-]
ammoJunkTurretDUDesc,実験型[5AFF75](劣化ウラン)[-]オートタレット弾薬。\n通常および改良型砲塔弾薬よりも大幅に強力です。対象の装甲を[DECEA3]60%[-]無視し、最大[DECEA3]2[-]の目標を貫通します。使用すると、砲塔の劣化速度が[DECEA3]20%[-]増加し、敵をノックダウンさせる可能性があります。\n\n製造できません。このタイプの弾薬はサポートに依頼できます。
autoTurret_44,オートタレット.44
autoTurret_44Desc,.44口径弾薬に対応したオートタレットのバージョン。\n\n敵はこのアップグレードを喜ばないだろう。
autoTurret_762,オートタレット7.62mm
autoTurret_762Desc,7.62mm口径弾薬に対応したオートタレットのバージョン。\n\n遠くからでも、彼女と目を合わせない方が良い。
chemistryStationImp,[DECEA3]改良型[-]化学ステーション
chemistryStationImpDesc,ここは化学実験に最適な場所です。より複雑な物質を作り出すことができ、従来のレシピもより迅速に再現できます。
toolProcessingAccelerator,[DECEA3]«化学ステーション»[-]処理加速器
toolProcessingAcceleratorDesc,火薬を製造するための精巧な設計。改良された化学薬品ステーションにおける火薬束の製造速度が大幅に向上します。
toolCompostBin,[DECEA3]«化学ステーション»[-]コンポスト容器
toolCompostBinDesc,堆肥処理用の大型樽。改良型化学ステーションでのクラフト機能を解放するために必要です。
toolChemicalFlasks,[DECEA3]«化学ステーション»[-]化学フラスコ
toolChemicalFlasksDesc,本物の化学者のための化学フラスコセット。改良型化学ステーションでのクラフト機能を解放するために必要です。
resourceBulletCasingBundle,薬莢バンドル（1000個）
resourceBulletCasingBundleDesc,これは弾丸の薬莢をコンパクトにまとめたものです。このアイテムを使って開封し、中身を取り出してください。
resourceBuckshotBundle,バックショットバンドル（1000）
resourceBuckshotBundleDesc,コンパクトな散弾銃用バックスショットの束です。このアイテムを使って開封してください。
resourceBulletBundle,弾丸チップバンドル（1000）
resourceBulletBundleDesc,これは弾丸の先端部分をコンパクトにまとめたものです。このアイテムを使って開封してください。
toolCanningTools,缶詰用具[DECEA3]«作業台»[-]
toolCanningToolsDesc,これらのツールを使えば、100年分の食料を備蓄できます。保存料を作ることも可能です。
BulldogLegArsonist,マシンガン[FFB800]ブルドッグ[-][F0B18A]-アーソニスト[-]
BulldogLegArsonistDesc,ユニークなブルドッグモデル。\nあらゆる種類の.44口径弾薬を発射できます[DECEA3][通常弾を除く][-]。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間移動速度を低下させます。\nあらゆる群れと、自分の条件で交渉する最良の方法。\n\n[F0B18A]ファイヤースターター[-]-敵を[DECEA3]20[-]秒間燃やします。炎は敵の移動速度と攻撃速度を[DECEA3]30%[-]低下させます。デバウアーやバーニングフレッシュには影響しません。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
BulldogLegURANUS,マシンガン[FFB800]ブルドッグ[-][F0B18A]-ウラヌス[-]
BulldogLegURANUSDesc,ユニークなブルドッグモデル。\n.44口径[5AFF75](劣化ウラン)[-]弾薬のみ発射可能。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間移動速度を低下させる。\nあらゆる大群と、自分の条件で交渉する最良の方法。\n\n[F0B18A]ウラン[-]-ターゲットが大きいほど、結果も大きくなる。エリート敵に[DECEA3]5%[-]多くダメージを与え、命中時にノックダウンさせる可能性がある。ミニボスに[DECEA3]10%[-]多くダメージを与え、ボスに[DECEA3]20%[-]多くダメージを与え、キャリアーに[DECEA3]30%[-]多くダメージを与える。\n\n[DECEA3]修理には修理キット(伝説級)[-]が必要
BulldogLegBreeze,マシンガン[FFB800]ブルドッグ[-][F0B18A]-ブリーズ[-]
BulldogLegBreezeDesc,ユニークなブルドッグモデル。\n改良された7.62mm口径弾薬の発射が可能。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間、敵の動きを遅くします。\nあらゆる大群と、自分の条件で交渉する最良の方法。\n\n[F0B18A]ブリーズ[-]-発射速度が大幅に向上。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
BulldogLegUnkillable,マシンガン[FFB800]ブルドッグ[-][F0B18A]-不死身[-]
BulldogLegUnkillableDesc,ユニークなブルドッグモデル。\n改良された.44口径弾薬の発射が可能。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間、敵の動きを遅くします。\nあらゆる大群と、自分の条件で交渉する最良の方法。\n\n[F0B18A]不死身[-]-武器の耐久性が大幅に向上し、使用時の破損率が低下しました。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
BulldogLegAvenger,マシンガン[FFB800]ブルドッグ[-][F0B18A]-アベンジャー[-]
BulldogLegAvengerDesc,ユニークなブルドッグモデル。\n改良された.44口径弾薬の発射が可能。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間、敵の動きを遅くします。\nあらゆる大群と、自分の条件で交渉する最良の方法。\n\n[F0B18A]アベンジャー[-]-敵からダメージを受けると、[DECEA3]3[-]秒間、ダメージが[DECEA3]30%[-]増加します。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
BuffBulldogAvengerName,アベンジャー
BuffBulldogAvengerTooltip,あなたは加害者に復讐する。
BuffBulldogAvengerIncDesc,あなたは加害者に復讐します。武器のダメージが[DECEA3]30%[-]増加します。
BulldogLegBerserk,マシンガン[FFB800]ブルドッグ[-][F0B18A]-バーサーク[-]
BulldogLegBerserkDesc,ユニークなブルドッグモデル。\n改良された.44口径弾薬の発射が可能。主要ステータスが大幅に向上。敵に命中すると、出血させ、[DECEA3]6[-]秒間移動速度を低下させる。\nあらゆる大群と、自分の条件で交渉する最良の方法。\n\n[F0B18A]バーサーク[-]-敵の頭部に命中すると、武器のバーサーク効果が発動する可能性があり、発射速度とダメージが[DECEA3]25%[-]秒間[DECEA3]3[-]増加しますが、装甲貫通力が低下し、武器の故障率が[DECEA3]50%[-]増加します。\n\n[DECEA3]修理には修理キット（伝説級）が必要[-]
BuffBulldogBerserkName,バーサーク
BuffBulldogBerserkTooltip,あなたの武器はバーサークモードになっています。
BuffBulldogBerserkIncDesc,武器がバーサークモードになりました。武器のダメージと連射速度が[DECEA3]25%[-]増加しました。装甲貫通力が[DECEA3]50%[-]減少しました。武器の故障率が[DECEA3]50%[-]増加しました。
EraserLegArsonist,オートショットガン[FFB800]イレイザー[-][F0B18A]-アーソニスト[-]
EraserLegArsonistDesc,ユニークなイレイザーモデル。\nあらゆるショットガン弾薬を発射できます。近距離および中距離の多数の敵に対する理想的な武器です。大幅に強化されたステータスにより、殺すだけでなく、消し去ることも可能です。\n\n[F0B18A]ファイアスターター[-]-敵を[DECEA3]20[-]秒間燃やします。炎は敵の移動速度と攻撃速度を[DECEA3]30%[-]低下させます。デバウアーまたはバーニングフレッシュには影響しません。\n\n[DECEA3]修理には修理キット（レジェンダリー）が必要です[-]
EraserLegURANUS,オートショットガン[FFB800]イレイザー[-][F0B18A]-ウラヌス[-]
EraserLegURANUSDesc,ユニークなイレイザーモデル。\nショットガン[5AFF75](劣化ウラン)[-]弾薬のみで発射可能。近距離および中距離の多数の敵に対する理想的な武器。大幅に強化されたステータスにより、殺すだけでなく、消去することも可能。\n\n[F0B18A]ウラン[-]-ターゲットが大きいほど、結果も大きくなる。エリート敵に[DECEA3]5%[-]多くダメージを与える。ミニボスに[DECEA3]10%[-]多くダメージを与え、ボスに[DECEA3]20%[-]多くダメージを与え、キャリアーに[DECEA3]30%[-]多くダメージを与える。\n\n[DECEA3]修理には修理キット(伝説級)[-]が必要
EraserLegUnkillable,オートショットガン[FFB800]イレイザー[-][F0B18A]-不死身[-]
EraserLegUnkillableDesc,ユニークなイレイザーモデル。\nあらゆるショットガン弾薬を発射できます。近距離および中距離の大勢の敵に最適な武器です。大幅に強化されたステータスにより、殺すだけでなく、消し去ることも可能です。\n\n[F0B18A]不死身[-]-使用時の耐久性が大幅に向上し、武器の破損率が低下します。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
EraserLegAvenger,オートショットガン[FFB800]イレイザー[-][F0B18A]-アベンジャー[-]
EraserLegAvengerDesc,ユニークなイレイザーモデル。\n改良型ショットガン弾薬のみ発射可能。近距離および中距離の多数の敵に対する理想的な武器。大幅に強化されたステータスにより、殺すだけでなく、消し去ることも可能。\n\n[F0B18A]アベンジャー[-]-敵からダメージを受けると、ダメージが[DECEA3]30%[-]増加し、[DECEA3]3[-]秒間持続します。\n\n[DECEA3]修理には修理キット（レジェンダリー）が必要です[-]
EraserLegBerserk,オートショットガン[FFB800]イレイザー[-][F0B18A]-バーサーク[-]
EraserLegBerserkDesc,ユニークなイレイザーモデル。\n改良型ショットガン弾薬のみ発射可能。近距離および中距離の多数の敵に対する理想的な武器。大幅に強化されたステータスにより、敵を倒すだけでなく、消し去ることも可能。\n\n[F0B18A]バーサーク[-]-敵の頭部に命中すると、武器のバーサーク効果が発動する可能性があり、発射速度とダメージが[DECEA3]25%[-]増加し、[DECEA3]3[-]秒間持続しますが、装甲貫通力が低下し、武器の故障率が[DECEA3]50%[-]増加します。\n\n[DECEA3]修理には修理キット（レジェンダリー）が必要[-]
GausLegArsonist,スナイパーライフル[FFB800]ガウス[-][F0B18A]-アーソニスト[-]
GausLegArsonistDesc,ユニークなガウスモデル。\n7.62mm弾薬なら何でも発射できます。一発あたりのダメージが最も高い武器です。敵は文字通り抵抗できません。HPが多いターゲットを排除するのも問題ありません。\n\n[F0B18A]放火魔[-]-敵を[DECEA3]20[-]秒間炎上させます。炎上により敵の移動速度と攻撃速度が[DECEA3]30%[-]低下します。デバウアーやバーニングフレッシュには影響しません。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
GausLegTesla,スナイパーライフル[FFB800]ガウス[-][F0B18A]-テスラ[-]
GausLegTeslaDesc,ユニークなガウスモデル。\n7.62mm弾薬なら何でも発射可能。一発あたりのダメージが最も高い武器。敵は文字通り抵抗できない。HPが多いターゲットも問題なく排除できる。\n\n[F0B18A]テスラ[-]-着弾時に放電を起こし、敵を一定時間動かせない。\n\n[DECEA3]修理には修理キット（伝説級）が必要[-]
GausLegURANUS,スナイパーライフル[FFB800]ガウス[-][F0B18A]-ウラヌス[-]
GausLegURANUSDesc,ユニークなガウスモデル。\n7.62mm[5AFF75](劣化ウラン)[-]弾を発射できます。一発あたりのダメージで最も強力な武器です。敵は文字通りこれに抵抗できません。HPの予備が多いターゲットを排除するのは問題ありません。\n\n[F0B18A]ウラン[-]-ターゲットが大きいほど、結果も大きくなります。エリート敵に[DECEA3]5%[-]多くダメージを与えます。ミニボスに[DECEA3]10%[-]多くダメージを与え、ボスに[DECEA3]20%[-]多くダメージを与え、キャリアーに[DECEA3]30%[-]多くダメージを与えます。\n\n[DECEA3]修理には修理キット(伝説級)[-]が必要です。
GausLegUnkillable,スナイパーライフル[FFB800]ガウス[-][F0B18A]-不死身[-]
GausLegUnkillableDesc,ユニークなガウスモデル。\n7.62mm弾薬なら何でも発射可能。一発あたりのダメージが最も高い武器。敵は文字通り抵抗できない。HPが多いターゲットも問題なく排除できる。\n\n[F0B18A]不死身[-]-使用時の耐久性が大幅に向上し、武器の破損率が低下する。\n\n[DECEA3]修理には修理キット（伝説級）が必要[-]
ZingerLegArsonist,SMG-5[FFB800]ジンガー[-][F0B18A]-アーソニスト[-]
ZingerLegArsonistDesc,ユニークなジンガーモデル。\n改良された9mm弾を発射できます。その連射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けました。それには十分な理由があります。\n非常に高速で軽量なので、ゾンビを訪ねるなら理想的な贈り物です。\n\n[F0B18A]放火犯[-]-敵を[DECEA3]20[-]秒間燃やします。炎は敵の移動速度と攻撃速度を[DECEA3]30%[-]低下させます。デバウアーやバーニングフレッシュには影響しません。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
ZingerLegURANUS,SMG-5[FFB800]ジンガー[-][F0B18A]-ウラヌス[-]
ZingerLegURANUSDesc,ユニークなジンガーモデル。\n9mm[5AFF75](劣化ウラン)[-]弾薬のみ発射可能。その発射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けた。それには十分な理由がある。\n非常に高速で軽量-ゾンビを訪ねることに決めた場合、理想的な贈り物となる。\n\n[F0B18A]ウラン[-]-ターゲットが大きいほど、結果も大きくなる。エリート敵に[DECEA3]5%[-]多くダメージを与え、命中時にノックダウンさせる可能性がある。ミニボスに[DECEA3]10%[-]多くダメージを与え、ボスに[DECEA3]20%[-]多くダメージを与え、キャリアに[DECEA3]30%[-]多くダメージを与える。\n\n[DECEA3]修理には修理キット(伝説級)[-]が必要
ZingerLegBreeze,SMG-5[FFB800]ジンガー[-][F0B18A]-ブリーズ[-]
ZingerLegBreezeDesc,ユニークなジンガーモデル。\n強化された徹甲弾9mm弾のみを発射できます。その発射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けました。それには十分な理由があります。\n非常に高速で軽量-ゾンビを訪ねることに決めた場合、理想的な贈り物です。\n\n[F0B18A]ブリーズ[-]-発射速度が大幅に向上。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
ZingerLegUnkillable,SMG-5[FFB800]ジンガー[-][F0B18A]-不死身[-]
ZingerLegUnkillableDesc,ユニークなジンガーモデル。\n9mm弾薬なら何でも発射できます。その連射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けました。それには十分な理由があります。\n非常に速くて軽いので、ゾンビを訪ねるなら理想的な贈り物です。\n\n[F0B18A]不死身[-]-使用時の耐久性が大幅に向上し、武器の破損率が低下します。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
ZingerLegAvenger,SMG-5[FFB800]ジンガー[-][F0B18A]-アベンジャー[-]
ZingerLegAvengerDesc,ユニークなジンガーモデル。\nあらゆる種類の9mm弾薬を発射できます[DECEA3][通常弾を除く][-]。その発射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けました。それには十分な理由があります。\n非常に高速で軽量-ゾンビを訪ねることに決めた場合、ゾンビへの理想的な贈り物です。\n\n[F0B18A]アベンジャー[-]-敵からダメージを受けると、ダメージが[DECEA3]30%[-]増加し、[DECEA3]3[-]秒間続きます。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
ZingerLegBerserk,SMG-5[FFB800]ジンガー[-][F0B18A]-バーサーク[-]
ZingerLegBerserkDesc,ユニークなジンガーモデル。\n改良型9mm弾のみ発射可能です。その連射速度から、多くのストーカーはこのモデルを高速で信頼性の高いミシンにちなんで名付けました。それには十分な理由があります。\n非常に高速で軽量-ゾンビを訪ねることに決めた場合、理想的な贈り物です。\n\n[F0B18A]バーサーク[-]-敵の頭部を攻撃すると、武器のバーサーク効果が発動する可能性があります。これにより、連射速度とダメージが[DECEA3]25%[-]増加し、[DECEA3]3[-]秒間持続しますが、装甲貫通力が低下し、武器の故障率が[DECEA3]50%[-]増加します。\n\n[DECEA3]修理には修理キット（伝説級）が必要です[-]
meleeWpnMausClaws,ナックルズ[FFB800]マウスクロー[-]
meleeWpnMausClawsDesc,敵を倒した際に得られる経験値が[DECEA3]50%[-]増加します。\n走り始めると、アクティブアビリティ「猛烈なダッシュ」が発動します。このアビリティが発動している間、移動速度が[DECEA3]75%[-]、ダメージが[DECEA3]25%[-]、ボスへのダメージが[DECEA3]100%[-]、攻撃速度が[DECEA3]10%[-]増加しますが、スタミナ消費量が[DECEA3]30%[-]増加します。\n\n[FFB800]マウス[-]アーマー一式を装備すると、「猛烈なダッシュ」アビリティのすべてのボーナスが2倍になり、クールダウンが半分になります。また、ダッシュ中の強化攻撃は必ず敵をノックダウンさせます。\n\n[DECEA3]修理には修理キット（伝説級）が必要です。[-]
MausClawsRushReloadName,猛烈なダッシュをリチャージ
MausClawsRushReloadIncDesc,チャージのクールダウン。アビリティを使用する前に、クールダウンが完了するまでお待ちください。\n\n[DECEA3]持続時間:5秒[-]
MausClawsNormalName,猛烈なダッシュが利用可能
MausClawsNormalIncDesc,猛烈なダッシュが使用可能です。走り出すと能力が発動します。
MausClawsRushName,猛烈なダッシュ
MausClawsRushIncDesc,猛烈な突進が発動中。チャージボーナスの効果を受けています。\n\n[DECEA3]持続時間:5秒[-]
meleeWpnGardenKnife,ガーデンナイフ
meleeWpnGardenKnifeDesc,このナイフはゾンビを殺すのには適していませんが、作物を収穫する際にはこれに匹敵するものはありません。
gunBotJunkTurretImp,[DECEA3]«改良»[-]オートタレット
gunBotJunkTurretImpDesc,改良型オートタレットは荒野で最高の相棒です。弾薬容量とすべての基本ステータスが向上しました。[5AFF75](劣化ウラン)[-]弾薬の使用が可能になり、命中した敵を[DECEA3]30%[-]減速させます。\nすべての基本ステータスが大幅に向上しました。\n設定したらあとはお任せください。\n\n[DECEA3]改良型修理キットで修理可能です[-]
gunBotJunkSledgeImp,[FFB800]リアクター[-]ハンマー
gunBotJunkSledgeImpDesc,この原子炉動力のロボットハンマーは、どんな標的でもカツレツに変えることができます。原子炉の能力のおかげで、すべての主要特性が大幅に向上しました。\nハンマーを置いて、大虐殺をお楽しみください。\n\n[DECEA3]修理には修理キット（改良版）が必要です[-]
junkTurretGunImp,[DECEA3]«改良»[-]オートタレット
masterDemolitionistSkillMagazine,[DECEA3]雑誌:[-]「デモリショニストマスター」
